BankKey,ItemKey,OldGrade,NewGrade,OldSubject,NewSubject,OldClaim,NewClaim,OldTarget,NewTarget,OldInteractionCode,NewInteractionCode,OldAslSupported,NewAslSupported,OldStimulus,NewStimulus,OldDOK,NewDOK,OldCoreStandard,NewCoreStandard,NewStandardPublications,Equal
187,3360,High,High,MATH,MATH,2,,A,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3362,High,High,MATH,MATH,1,,A,,MC,MC,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3599,High,High,MATH,MATH,1,,I,,MC,MC,False,False,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3224,High,High,MATH,MATH,1,,J,,GI,GI,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3601,Grade4,Grade4,MATH,MATH,3,,C,,MS,MS,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3481,Grade3,Grade3,MATH,MATH,3,,A,,GI,GI,True,True,,,3,3,,,SBAC-MA-v3:MA-Undesignated,False
187,3485,Grade8,Grade8,MATH,MATH,1,,H,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3473,Grade3,Grade3,MATH,MATH,1,,D,,EQ,EQ,True,True,,,1,1,,,SBAC-MA-v3:MA-Undesignated,False
187,3479,Grade7,Grade7,MATH,MATH,1,,F,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3236,Grade6,Grade6,MATH,MATH,3,,A,,GI,GI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3591,Grade7,Grade7,MATH,MATH,4,,D,,EQ,EQ,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3364,Grade5,Grade5,MATH,MATH,3,,E,,MC,MC,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
187,3605,Grade5,Grade5,MATH,MATH,1,,K,,MI,MI,True,True,,,2,2,,,SBAC-MA-v3:MA-Undesignated,False
